country,keyword,search_volume,cpc,competition_level,source,difficulty,relevance,score
es,alquiler piso valladolid,18100,0.21,LOW,w5,0,7,19005.0
es,parking mercadona,18100,0.17,LOW,w5,0,7,19005.0
es,puerto de indias,27100,0.03,MEDIUM,w3,0,7,18970.0
pt,metro em lisboa mapa,27100,0.19,LOW,w3,5,7,18970.0
es,renfe cercanias donostia,18100,0.69,LOW,w3,3,9,18796.2
es,renfe reclamaciones,22200,4.7,LOW,w3,6,9,18731.2
pt,benfica bilhetes,40500,0.47,LOW,w3,16,8,18692.3
es,puerto del rosario,60500,0.85,LOW,w3,24,7,18683.8
es,renfe cercanias asturias,33100,0,LOW,w3,14,9,18618.8
pt,caldas da rainha meteorologia,14800,0,LOW,w3,2,10,18500.0
pt,clima em porto,33100,0.37,LOW,w3,17,10,18388.9
es,aena,135000,1.83,LOW,seed,79,8,18202.2
es,estación de autobuses albacete,14800,0.17,LOW,w3,1,9,18163.6
pt,tempo para vila verde,12100,0,LOW,w3,0,10,18150.0
pt,meteorologia montemor o novo,12100,0,LOW,w3,0,10,18150.0
es,aeropuerto Tenerife Norte,18100,3.23,LOW,seed,2,8,18100.0
pt,meteorologia em mirandela,18100,0,LOW,w3,5,10,18100.0
pt,aeroporto lisboa partidas,27100,0.37,LOW,seed,8,8,18066.7
es,metro valencia,110000,0.4,LOW,seed,54,7,18046.9
es,vuelos baratos desde barcelona,22200,0.42,HIGH,w3,0,8,17760.0
pt,aeroporto de lisboa chegadas,14800,0.32,LOW,w3,0,8,17760.0
pt,chegadas ao aeroporto de lisboa,14800,0.32,LOW,w3,0,8,17760.0
es,parking general p4 aeropuerto de adolfo suárez madrid barajas,14800,0.28,LOW,w3,0,8,17760.0
es,parking general p4 aeropuerto de adolfo suárez madrid-barajas,14800,0.28,LOW,w3,0,8,17760.0
es,aeropuerto de girona costa brava,14800,0.67,LOW,w3,0,8,17760.0
es,aeropuerto seve ballesteros santander,14800,0.17,LOW,w3,0,8,17760.0
es,aeropuerto seve ballesteros-santander,14800,0.17,LOW,w3,0,8,17760.0
es,aeropuerto de girona-costa brava,14800,0.67,LOW,w3,0,8,17760.0
es,tiempo velez malaga,33100,0,LOW,w5,18,10,17732.1
es,tiempo en vélez málaga,33100,0,LOW,w5,18,10,17732.1
pt,ipma braga,49500,0,LOW,w3,32,10,17678.6
es,tiempo en palma de mallorca,40500,0.44,LOW,w5,25,10,17357.1
es,hora república dominicana,33100,0,LOW,w3,13,8,17269.6
es,linea 10 metro madrid,74000,0.09,LOW,w3,35,7,17266.7
pt,lisboa previsão do tempo,33100,0,LOW,w3,19,10,17120.7
es,binter vuelos,27100,0.36,LOW,w3,9,8,17115.8
es,aeropuerto malaga,27100,1.39,LOW,w3,9,8,17115.8
es,el tiempo san juan del puerto,14800,0,LOW,w3,3,10,17076.9
pt,meteorologia alcobaça,14800,0.42,LOW,w3,3,10,17076.9
pt,meteorologia setúbal,18100,0,LOW,w3,6,10,16968.8
es,linea 5 de metro madrid,49500,0,LOW,w3,21,7,16766.1
es,metro linea 5 madrid,49500,0,LOW,w3,21,7,16766.1
es,estación de autobuses de logroño,14800,0.23,LOW,w3,2,9,16650.0
pt,parque estacionamento,27100,0.3,LOW,w3,12,9,16629.5
es,metro linea 7 madrid,33100,0,LOW,w3,11,7,16550.0
pt,meteorologia castelo branco,33100,0.36,LOW,w3,20,10,16550.0
es,valencia hoy tiempo,49500,0,LOW,w3,35,10,16500.0
pt,meteorologia cantanhede,12100,0,LOW,w3,1,10,16500.0
pt,meteorologia arcos de valdevez,12100,0,LOW,w3,1,10,16500.0
pt,meteorologia em valongo,12100,0,LOW,w3,1,10,16500.0
es,madrid manifestación,12100,0,LOW,w3,0,9,16335.0
es,radar de control de velocidad,12100,1.49,LOW,w3,0,9,16335.0
es,cercanias renfe santander,12100,0.94,LOW,w3,0,9,16335.0
es,estación tren pamplona iruña,12100,0.37,LOW,w3,0,9,16335.0
es,estación de autobuses de oviedo uviéu,12100,0.26,LOW,w3,0,9,16335.0
es,estación de autobuses de vigo,12100,0.35,LOW,w3,0,9,16335.0
es,estación tren murcia del carmen,12100,0,LOW,w3,0,9,16335.0
pt,estacionamento largo são pedro penaferrim,12100,0.21,LOW,w3,0,9,16335.0
es,empleo renfe,12100,2.18,LOW,w3,0,9,16335.0
es,compra tasas dgt,12100,1.55,LOW,w5,0,9,16335.0
es,cámaras dgt,49500,1.73,LOW,seed,31,9,16298.8
es,tiempo en velez malaga,33100,0,LOW,w5,21,10,16016.1
es,madrid manifestación hoy,27100,0,LOW,w3,13,9,15906.5
pt,meteorologia marinha grande,14800,0.05,LOW,w3,4,10,15857.1
es,puerto de Ibiza,18100,0.46,LOW,seed,2,7,15837.5
es,linea 7 metro madrid,33100,0,LOW,w3,12,7,15797.7
pt,metro lisboa,135000,0.3,LOW,seed,80,7,15750.0
es,metro de madrid linea 5,49500,0,LOW,w3,23,7,15750.0
es,el tiempo: guadalajara,27100,0,LOW,w3,16,10,15634.6
es,puerto de alcudia,14800,1.9,LOW,w3,0,7,15540.0
es,pisos gijón alquiler,14800,0.2,LOW,w3,0,7,15540.0
es,alquiler con opcion a compra,14800,0.71,LOW,w3,0,7,15540.0
es,alquiler madrid,14800,0.82,LOW,w3,0,7,15540.0
es,horario metro barcelona,14800,0.33,LOW,w3,0,7,15540.0
es,alquiler piso malaga,14800,0.57,LOW,w5,0,7,15540.0
pt,porto clima,33100,0.37,LOW,w3,22,10,15515.6
